timestamp,city,temperature,description
2025-12-09T10:31:11.491Z,Bath,13.66,light rain
2025-12-09T10:36:44.058Z,Bath,13.66,light rain
2025-12-09T11:58:17.388Z,London,13.76,broken clouds
2025-12-09T11:58:17.396Z,London,13.76,broken clouds
2025-12-09T12:31:35.594Z,London,14.05,broken clouds
2025-12-09T12:31:35.596Z,London,14.05,broken clouds
2025-12-09T13:01:59.204Z,London,14.33,overcast clouds
2025-12-09T13:01:59.206Z,London,14.33,overcast clouds
2025-12-09T14:00:16.412Z,Bath,14.15,overcast clouds
2025-12-09T14:00:16.414Z,Bath,14.07,overcast clouds
2025-12-09T14:26:10.859Z,Bath,14.44,overcast clouds
2025-12-09T14:26:10.861Z,Bath,14.44,overcast clouds
2025-12-09T16:31:05.703Z,Bath,13.63,overcast clouds
2025-12-09T16:31:05.705Z,Bath,13.63,overcast clouds
2025-12-09T18:31:25.627Z,Bath,12.4,broken clouds
2025-12-09T18:31:25.629Z,Bath,12.4,broken clouds
2025-12-09T20:23:53.010Z,Bath,11.5,few clouds
2025-12-09T20:23:53.012Z,Bath,11.5,few clouds
2025-12-09T22:22:17.004Z,Bath,10.9,few clouds
2025-12-09T22:22:17.007Z,Bath,10.9,few clouds
2025-12-10T01:51:36.461Z,Bath,10.09,scattered clouds
2025-12-10T01:51:36.463Z,Bath,10.09,scattered clouds
2025-12-10T03:24:51.729Z,Bath,10.19,few clouds
2025-12-10T03:24:51.731Z,Bath,10.19,few clouds
2025-12-10T04:35:20.928Z,Bath,10.21,few clouds
2025-12-10T04:35:20.930Z,Bath,10.21,few clouds
2025-12-10T06:36:45.219Z,Bath,10.54,clear sky
2025-12-10T06:36:45.221Z,Bath,10.54,clear sky
2025-12-10T08:32:26.354Z,Bath,10.48,clear sky
2025-12-10T08:32:26.356Z,Bath,10.59,clear sky
2025-12-10T10:28:11.193Z,Bath,11.53,clear sky
2025-12-10T10:28:11.195Z,Bath,11.53,clear sky
2025-12-10T12:50:56.937Z,Bath,12.16,few clouds
2025-12-10T12:50:56.939Z,Bath,12.16,few clouds
2025-12-10T14:26:25.896Z,Bath,11.79,scattered clouds
2025-12-10T14:26:25.898Z,Bath,11.79,scattered clouds
2025-12-10T16:31:07.264Z,Bath,10.11,few clouds
2025-12-10T16:31:07.266Z,Bath,10.07,few clouds
2025-12-10T18:34:17.477Z,Bath,9.13,clear sky
2025-12-10T18:34:17.479Z,Bath,9.13,clear sky
2025-12-10T20:28:12.575Z,Bath,8.06,scattered clouds
2025-12-10T20:28:12.576Z,Bath,8.06,scattered clouds
